Sequence,DeviceId,ScoredLabels,ScoredProbabilities
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9767972,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768077,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768087,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
9768100,1268,0,0.007972776
